iter	RMSE
0	215.6260086
1	204.2827258
2	193.5293285
3	183.5852874
4	174.3031
5	165.5651993
6	157.4859006
7	149.993128
8	142.8844166
9	136.2698014
10	130.1540234
11	124.4789384
12	119.2867415
13	114.4452516
14	109.8343276
15	105.7481849
16	101.856046
17	98.2770125
18	95.06050223
19	92.16499191
20	89.37343818
21	86.83323045
22	84.49813147
23	82.34726401
24	80.3663825
25	78.58835229
26	76.98230907
27	75.54967235
28	74.28659327
29	73.10735247
30	72.00294154
31	71.0116855
32	70.12185351
33	69.32221121
34	68.57015925
35	67.89756683
36	67.32066444
37	66.82104899
38	66.33178522
39	65.86598294
40	65.44307949
41	65.09581268
42	64.76286555
43	64.47608628
44	64.19159729
45	63.9447674
46	63.73286942
47	63.53663317
48	63.36025335
49	63.20709373
50	63.06242068
51	62.90683095
52	62.77015957
53	62.66294383
54	62.56313858
55	62.46078014
56	62.37799244
57	62.28548375
58	62.20594076
59	62.14582183
60	62.06886658
61	62.00496503
62	61.95037047
63	61.88942445
64	61.8296332
65	61.79014855
66	61.73977238
67	61.68918345
68	61.64021889
69	61.60368005
70	61.56566438
71	61.52640385
72	61.48961837
73	61.45068436
74	61.41243496
75	61.37100362
76	61.34071082
77	61.31694377
78	61.27220327
79	61.23587976
80	61.20631938
81	61.18448838
82	61.1601092
83	61.13900095
84	61.10878078
85	61.08596005
86	61.06495322
87	61.02404934
88	60.99084018
89	60.96718479
90	60.94045873
91	60.91847127
92	60.89089515
93	60.87643709
94	60.85024295
95	60.83096534
96	60.81210561
97	60.77534073
98	60.7534566
99	60.72131749
100	60.69713396
101	60.68486049
102	60.67599256
103	60.63097918
104	60.61713523
105	60.5952545
106	60.57370294
107	60.55189634
108	60.53697575
109	60.50688851
110	60.47796516
111	60.45446399
112	60.43820754
113	60.40138574
114	60.38091547
115	60.34721466
116	60.32521991
117	60.30142996
118	60.28934138
119	60.27230692
120	60.24780989
121	60.22188566
122	60.20171958
123	60.18327685
124	60.15767534
125	60.13548822
126	60.11298366
127	60.07607529
128	60.05332217
129	60.03172326
130	60.00903834
131	59.99219842
132	59.96564073
133	59.94518161
134	59.91871781
135	59.90441141
136	59.88008224
137	59.86467819
138	59.8454819
139	59.83170365
140	59.8135905
141	59.78619008
142	59.76894907
143	59.74151404
144	59.71581155
145	59.70270858
146	59.68655173
147	59.6743991
148	59.64721523
149	59.6265902
150	59.61300174
151	59.58895152
152	59.57413939
153	59.55624073
154	59.54015001
155	59.51892644
156	59.50551512
157	59.47703238
158	59.46691241
159	59.44969897
160	59.42917868
161	59.40138607
162	59.38333855
163	59.36840151
164	59.34652708
165	59.33683479
166	59.30799001
167	59.26615208
168	59.2446869
169	59.22055131
170	59.19302865
171	59.1757686
172	59.16054173
173	59.15064585
174	59.11419488
175	59.09317991
176	59.05192258
177	59.03320401
178	59.01026156
179	58.99200366
180	58.96310373
181	58.93636641
182	58.91285786
183	58.88445635
184	58.87213232
185	58.85430367
186	58.84435551
187	58.8284068
188	58.80417321
189	58.79437615
190	58.77015459
191	58.75671973
192	58.73354505
193	58.72761
194	58.71474137
195	58.70136198
196	58.68339049
197	58.67540746
198	58.66542269
199	58.63743305
200	58.62804549
201	58.61173702
202	58.5971036
203	58.57444107
204	58.55825027
205	58.55019253
206	58.53322325
207	58.51415594
208	58.50331127
209	58.48745365
210	58.47452084
211	58.43176052
212	58.4075121
213	58.38963151
214	58.37544641
215	58.3494966
216	58.32911274
217	58.31410915
218	58.29460314
219	58.26919881
220	58.24858141
221	58.22755779
222	58.21512134
223	58.20484954
224	58.17255162
225	58.14426161
226	58.13752616
227	58.12239065
228	58.09281434
229	58.08125388
230	58.05465816
231	58.03433093
232	58.00655992
233	57.9891195
234	57.97435657
235	57.94897013
236	57.94068653
237	57.93114647
238	57.90241376
239	57.89019115
240	57.87624341
241	57.85454334
242	57.83731541
243	57.82385884
244	57.79694816
245	57.78499789
246	57.75685333
247	57.72343694
248	57.71340877
249	57.69127692
250	57.67938874
251	57.66691149
252	57.64809827
253	57.63716798
254	57.62372344
255	57.58882855
256	57.57756703
257	57.5648431
