iter	Passed	Remaining
0	62	62142
1	73	36836
2	83	27849
3	94	23635
4	104	20861
5	113	18792
6	121	17260
7	130	16148
8	137	15117
9	144	14267
10	160	14402
11	165	13619
12	170	12948
13	174	12322
14	182	11995
15	189	11673
16	195	11287
17	200	10956
18	206	10671
19	213	10460
20	220	10276
21	226	10085
22	233	9913
23	240	9778
24	246	9611
25	250	9395
26	256	9231
27	263	9134
28	271	9103
29	277	8969
30	283	8851
31	288	8713
32	293	8606
33	300	8544
34	307	8465
35	312	8356
36	319	8305
37	325	8232
38	331	8166
39	339	8147
40	343	8041
41	350	7986
42	357	7962
43	364	7925
44	371	7892
45	380	7897
46	388	7876
47	395	7838
48	401	7792
49	409	7786
50	415	7728
51	422	7709
52	429	7678
53	437	7663
54	445	7652
55	451	7604
56	460	7624
57	472	7668
58	480	7664
59	488	7658
60	495	7634
61	503	7622
62	515	7669
63	530	7753
64	536	7720
65	541	7664
66	549	7654
67	557	7641
68	563	7605
69	568	7547
70	577	7557
71	584	7537
72	591	7509
73	597	7476
74	606	7474
75	613	7460
76	618	7416
77	626	7402
78	635	7411
79	643	7404
80	649	7365
81	654	7327
82	660	7299
83	669	7296
84	678	7299
85	683	7269
86	690	7251
87	698	7240
88	704	7211
89	710	7180
90	715	7147
91	732	7231
92	746	7279
93	755	7277
94	764	7280
95	771	7266
96	778	7244
97	787	7244
98	795	7241
99	801	7217
100	815	7259
101	826	7273
102	834	7265
103	840	7238
104	847	7227
105	858	7237
106	869	7254
107	877	7251
108	886	7244
109	894	7234
110	902	7227
111	909	7214
112	919	7220
113	929	7225
114	938	7219
115	946	7214
116	956	7221
117	963	7204
118	972	7197
119	986	7237
120	994	7224
121	1004	7227
122	1019	7271
123	1033	7300
124	1042	7298
125	1057	7332
126	1077	7404
127	1085	7396
128	1092	7375
129	1102	7379
130	1115	7399
131	1123	7389
132	1145	7464
133	1181	7636
134	1190	7630
135	1201	7630
136	1209	7619
137	1229	7681
138	1237	7664
139	1244	7644
140	1256	7651
141	1270	7678
142	1278	7659
143	1291	7676
144	1298	7658
145	1305	7636
146	1323	7679
147	1332	7670
148	1338	7644
149	1357	7694
150	1364	7671
151	1371	7653
152	1377	7626
153	1384	7604
154	1391	7583
155	1397	7561
156	1405	7548
157	1415	7541
158	1430	7567
159	1435	7534
160	1443	7521
161	1447	7489
162	1454	7468
163	1462	7453
164	1467	7426
165	1474	7405
166	1478	7376
167	1485	7356
168	1494	7348
169	1503	7340
170	1508	7314
171	1514	7290
172	1519	7264
173	1524	7234
174	1530	7215
175	1538	7202
176	1546	7190
177	1551	7164
178	1557	7143
179	1564	7126
180	1570	7108
181	1575	7081
182	1581	7058
183	1589	7048
184	1598	7040
185	1604	7021
186	1612	7008
187	1618	6989
188	1624	6970
189	1632	6957
190	1639	6944
191	1644	6921
192	1651	6904
193	1658	6892
194	1667	6882
195	1673	6863
196	1678	6841
197	1685	6825
198	1692	6810
199	1699	6799
200	1705	6780
201	1712	6763
202	1719	6752
203	1725	6734
204	1731	6716
205	1736	6694
206	1743	6679
207	1749	6660
208	1757	6651
209	1764	6637
210	1770	6621
211	1778	6612
212	1785	6598
213	1790	6576
214	1794	6551
215	1803	6545
216	1811	6537
217	1817	6520
218	1823	6503
219	1830	6489
220	1837	6478
221	1843	6458
222	1848	6439
223	1853	6421
224	1860	6408
225	1868	6398
226	1874	6383
227	1878	6360
228	1884	6345
229	1889	6325
230	1897	6316
231	1902	6298
232	1911	6292
233	1918	6279
234	1928	6276
235	1935	6264
236	1941	6251
237	1948	6238
238	1957	6234
239	1963	6216
240	1971	6209
241	1978	6196
242	1984	6181
243	1990	6166
244	1998	6158
245	2005	6145
246	2010	6128
247	2016	6113
248	2021	6096
249	2028	6086
250	2036	6077
251	2042	6062
252	2049	6052
253	2056	6038
254	2063	6027
255	2068	6010
256	2073	5994
257	2079	5981
258	2087	5973
259	2096	5966
260	2103	5954
261	2108	5938
262	2115	5927
263	2123	5919
264	2129	5906
265	2135	5892
266	2142	5882
267	2150	5873
268	2156	5859
269	2163	5848
270	2170	5838
271	2178	5831
272	2185	5821
273	2191	5806
274	2196	5791
275	2202	5778
276	2210	5768
277	2216	5757
278	2223	5744
279	2231	5737
280	2240	5733
281	2247	5722
282	2257	5719
283	2264	5708
284	2276	5711
285	2284	5703
286	2292	5694
287	2297	5679
288	2305	5671
289	2315	5669
290	2326	5667
291	2338	5670
292	2351	5674
293	2364	5678
294	2370	5664
295	2380	5660
296	2389	5655
297	2399	5652
298	2403	5635
299	2416	5638
300	2423	5628
301	2434	5627
302	2441	5615
303	2446	5601
304	2463	5613
305	2468	5598
306	2478	5594
307	2484	5581
308	2493	5576
309	2501	5566
310	2508	5556
311	2521	5560
312	2533	5561
313	2540	5549
314	2548	5543
315	2556	5534
316	2563	5523
317	2571	5514
318	2577	5502
319	2590	5504
320	2597	5495
321	2604	5484
322	2612	5474
323	2621	5468
324	2626	5454
325	2631	5440
326	2638	5429
327	2646	5421
328	2654	5413
329	2660	5400
330	2667	5391
331	2674	5380
332	2681	5371
333	2691	5366
334	2703	5366
335	2710	5356
336	2717	5346
337	2724	5335
338	2734	5331
339	2740	5320
340	2747	5310
341	2763	5317
342	2770	5307
343	2780	5302
344	2795	5307
345	2802	5297
346	2809	5286
347	2816	5277
348	2830	5280
349	2836	5267
350	2849	5269
351	2882	5306
352	2900	5316
353	2911	5312
354	2930	5323
355	2947	5332
356	2954	5320
357	2964	5316
358	2975	5312
359	2985	5308
360	2996	5304
361	3012	5310
362	3023	5305
363	3030	5295
364	3037	5284
365	3045	5276
366	3053	5266
367	3061	5258
368	3067	5246
369	3073	5233
370	3089	5238
371	3096	5228
372	3104	5218
373	3111	5207
374	3117	5196
375	3124	5184
376	3132	5176
377	3137	5163
378	3144	5152
379	3152	5144
380	3159	5133
381	3164	5120
382	3171	5108
383	3177	5097
384	3186	5089
385	3201	5091
386	3209	5084
387	3219	5077
388	3227	5068
389	3236	5061
390	3248	5060
391	3256	5051
392	3265	5044
393	3271	5031
394	3278	5021
395	3285	5011
396	3294	5004
397	3305	4999
398	3322	5003
399	3329	4994
400	3337	4985
401	3345	4976
402	3355	4971
403	3363	4961
404	3371	4952
405	3379	4944
406	3386	4934
407	3394	4925
408	3400	4914
409	3411	4908
410	3420	4901
411	3433	4899
412	3438	4887
413	3445	4877
414	3456	4872
415	3466	4866
416	3475	4858
417	3494	4865
418	3504	4858
419	3511	4849
420	3518	4838
421	3528	4833
422	3542	4832
423	3557	4832
424	3570	4830
425	3590	4838
426	3601	4832
427	3611	4827
428	3620	4818
429	3629	4811
430	3635	4799
431	3648	4797
432	3657	4789
433	3664	4779
434	3673	4771
435	3687	4769
436	3693	4758
437	3700	4748
438	3710	4741
439	3716	4730
440	3729	4727
441	3739	4721
442	3747	4711
443	3752	4699
444	3762	4692
445	3774	4689
446	3784	4681
447	3791	4671
448	3798	4661
449	3808	4654
450	3818	4647
451	3830	4644
452	3837	4633
453	3844	4623
454	3852	4614
455	3858	4603
456	3865	4592
457	3870	4580
458	3878	4571
459	3884	4560
460	3891	4550
461	3898	4539
462	3906	4531
463	3912	4520
464	3918	4508
465	3925	4498
466	3930	4486
467	3938	4477
468	3945	4467
469	3950	4454
470	3956	4443
471	3961	4431
472	3969	4423
473	3976	4412
474	3983	4402
475	3991	4393
476	3999	4385
477	4004	4373
478	4010	4362
479	4016	4351
480	4021	4339
481	4030	4331
482	4035	4319
483	4045	4312
484	4054	4304
485	4061	4295
486	4068	4285
487	4077	4278
488	4085	4269
489	4093	4260
490	4100	4251
491	4108	4242
492	4116	4233
493	4124	4225
494	4131	4215
495	4139	4205
496	4144	4194
497	4151	4184
498	4159	4176
499	4167	4167
500	4172	4156
501	4178	4145
502	4183	4133
503	4191	4125
504	4200	4116
505	4205	4105
506	4209	4093
507	4216	4083
508	4224	4075
509	4230	4064
510	4236	4054
511	4244	4045
512	4250	4035
513	4257	4026
514	4262	4014
515	4269	4004
516	4277	3996
517	4285	3987
518	4292	3977
519	4299	3969
520	4307	3960
521	4312	3949
522	4319	3939
523	4328	3932
524	4336	3923
525	4341	3912
526	4348	3902
527	4356	3894
528	4364	3886
529	4369	3875
530	4374	3863
531	4379	3852
532	4386	3843
533	4392	3833
534	4397	3822
535	4402	3811
536	4408	3801
537	4416	3792
538	4423	3783
539	4428	3772
540	4435	3763
541	4441	3753
542	4450	3745
543	4457	3736
544	4465	3728
545	4474	3720
546	4483	3712
547	4488	3701
548	4495	3693
549	4501	3683
550	4507	3672
551	4512	3661
552	4518	3652
553	4526	3643
554	4533	3635
555	4539	3625
556	4545	3615
557	4554	3607
558	4560	3597
559	4566	3588
